1.5,12660,28660
2.0,9462,21280
2.5,7044,16630
3.0,5299,13640
3.5,4225,11030
4.0,3406,9570
4.5,2722,7124
5.0,2394,5740
5.5,2106,4985
6.0,1765,4230
6.5,1558,3706
7.0,1361,3163
7.5,1159,2755
8.0,1046,2500
8.5,940,2258
9.0,825,1989
9.5,795,1841
10.0,710,1652
11.0,595,1369
12.0,553,1098
13.0,461,967
14.0,334,818
15.0,299,680
16.0,288,582
17.0,217,494
18.0,205,417
20.0,144,320
25.0,97,189
