2,539,530,536,553,554
3,278,283,294,281,269
4,173,183,184,166,190
5,123,139,134,112,129
6,99,104,100,77,104
7,93,76,78,82,65
8,68,70,72,66,77
9,67,55,48,67,65
10,45,40,52,48,64
