1.63E+001	12.6	4.37
1.65E+001	12.5	4.35
1.67E+001	12.4	4.3
1.70E+001	12	4.18
1.75E+001	11.1	3.85
1.80E+001	9.84	3.41
16.1	12.5	4.36
16.9	12.4	4.3
15.6	12	4.16
15.2	11.4	3.93
14.5	10	3.42
14	9.28	3.19
13	7.84	2.72
12	6.96	2.37
19	7.6	2.62
20	5.76	1.98

